distMean_true,outcome_true,outcome_pre,is_oddball
255.0,235.0,113.42643047315553,-1.0
255.0,240.0,-129.4649767950987,-1.0
255.0,237.0,-123.25092004750343,-1.0
255.0,246.0,-122.58613904654025,-1.0
255.0,261.0,-119.75278478905923,-1.0
255.0,243.0,-111.75382713187005,-1.0
255.0,268.0,-115.47003004713069,-1.0
255.0,265.0,-102.72088557883602,-1.0
255.0,240.0,-100.98576462531135,-1.0
191.0,213.0,-111.85632419663622,-1.0
191.0,186.0,-134.72994864454276,-1.0
191.0,185.0,-164.11074394208723,-1.0
191.0,196.0,-171.21564647716042,-1.0
191.0,194.0,-170.53865068851445,-1.0
191.0,185.0,-171.1103397343668,-1.0
191.0,198.0,-174.64551827714757,-1.0
191.0,192.0,-172.24385268044364,-1.0
191.0,193.0,-174.11289823412537,-1.0
191.0,190.0,-174.62857514012848,-1.0
191.0,190.0,-176.0794328599609,-1.0
191.0,208.0,-176.71876512662746,-1.0
191.0,191.0,-168.546100788043,-1.0
80.0,73.0,-173.74456421033702,-1.0
80.0,80.0,64.40251018157359,-1.0
80.0,74.0,78.71617242258648,-1.0
80.0,86.0,80.13139127749159,-1.0
80.0,81.0,81.9948048723652,-1.0
80.0,89.0,81.47440878625751,-1.0
80.0,81.0,84.53676116023532,-1.0
80.0,69.0,82.53584219538583,-1.0
80.0,91.0,77.57418663327455,-1.0
80.0,77.0,85.35167298111126,-1.0
192.0,178.0,80.87636854889877,-1.0
192.0,194.0,-174.6102710762556,-1.0
192.0,195.0,-170.12306115617687,-1.0
192.0,181.0,-168.89535570201417,-1.0
192.0,178.0,-172.09224968527278,-1.0
192.0,188.0,-176.4737335976196,-1.0
192.0,209.0,-175.35209651059657,-1.0
192.0,186.0,-167.86605240129268,-1.0
192.0,174.0,-173.43354683720963,-1.0
192.0,191.0,179.05054416627328,-1.0
114.0,123.0,-177.16668545005194,-1.0
114.0,102.0,132.55867750563667,-1.0
114.0,110.0,112.43516721087029,-1.0
114.0,107.0,112.89188142192005,-1.0
114.0,115.0,112.25605159385124,-1.0
114.0,128.0,115.21979385822485,-1.0
114.0,104.0,123.6649570874341,-1.0
114.0,113.0,115.682824785897,-1.0
114.0,121.0,120.06460302535893,-1.0
114.0,138.0,124.87014622118339,-1.0
114.0,108.0,136.5621186073948,-1.0
114.0,101.0,124.10822860488192,-1.0
114.0,103.0,118.51804648052878,-1.0
114.0,114.0,115.97665295223226,-1.0
151.0,158.0,120.47550058592059,-1.0
151.0,133.0,153.3670093841725,-1.0
151.0,168.0,139.58936510872746,-1.0
151.0,164.0,163.2547819956458,-1.0
151.0,174.0,164.53726088510822,-1.0
151.0,143.0,170.8038665147774,-1.0
151.0,126.0,160.9916656133608,-1.0
151.0,142.0,148.19815388993757,-1.0
276.0,287.0,151.08609593947014,-1.0
276.0,249.0,-72.0059778681982,-1.0
276.0,291.0,-92.81340296148701,-1.0
276.0,268.0,-82.74947785894875,-1.0
276.0,276.0,-85.23968137545604,-1.0
276.0,253.0,-83.91474680496212,-1.0
276.0,261.0,-89.88153513737973,-1.0
276.0,290.0,-90.3923692116529,-1.0
32.0,37.0,-82.50581055264621,-1.0
32.0,34.0,36.08728934004727,-1.0
32.0,25.0,37.10533506475777,-1.0
32.0,28.0,32.97570672885353,-1.0
32.0,25.0,29.262146368025448,-1.0
32.0,49.0,26.508756878424776,-1.0
32.0,28.0,32.199882957635246,-1.0
289.0,290.0,30.345545702220388,-1.0
289.0,268.0,-81.15355985031695,-1.0
289.0,312.0,-85.48025277914978,-1.0
289.0,275.0,-67.27249434273452,-1.0
289.0,287.0,-74.03145134258892,-1.0
289.0,294.0,-72.87219427515885,-1.0
289.0,290.0,-69.88089159117095,-1.0
289.0,305.0,-70.20222352202597,-1.0
289.0,285.0,-65.3170666803413,-1.0
289.0,303.0,-69.00056285194952,-1.0
289.0,295.0,-63.99885506348899,-1.0
289.0,294.0,-64.73688685374105,-1.0
128.0,139.0,-64.61639127779486,-1.0
128.0,133.0,133.30307958864054,-1.0
128.0,106.0,136.88175427934556,-1.0
128.0,148.0,126.20209176030484,-1.0
128.0,141.0,133.16260827353244,-1.0
128.0,139.0,138.64409766420223,-1.0
128.0,134.0,140.6692969980718,-1.0
128.0,126.0,139.5209225311583,-1.0
128.0,131.0,136.81113271231126,-1.0
128.0,132.0,138.29768083162503,-1.0
271.0,271.0,139.46195919445196,-1.0
271.0,268.0,-93.0345655593102,-1.0
271.0,272.0,-92.82594056965328,-1.0
271.0,258.0,-90.78241149456544,-1.0
271.0,268.0,-92.61653545600214,-1.0
271.0,265.0,-91.6856486266571,-1.0
271.0,269.0,-92.17741415083863,-1.0
271.0,280.0,-90.8599112258083,-1.0
271.0,238.0,-86.48345644230099,-1.0
271.0,274.0,-99.10142633826506,-1.0
141.0,142.0,-87.45978455087366,-1.0
141.0,146.0,134.56938386994645,-1.0
141.0,153.0,143.07953039281776,-1.0
141.0,135.0,146.9466003022805,-1.0
141.0,148.0,144.27858708722334,-1.0
141.0,150.0,147.1195889269483,-1.0
141.0,149.0,149.70602808074526,-1.0
141.0,142.0,150.86756803041092,-1.0
172.0,173.0,149.29205543862372,-1.0
172.0,168.0,164.2566291071259,-1.0
172.0,177.0,167.12977670552297,-1.0
172.0,169.0,174.2884722311809,-1.0
172.0,186.0,174.33049530237565,-1.0
172.0,174.0,-178.3926678415467,-1.0
172.0,181.0,-179.95664257193408,-1.0
172.0,176.0,-177.77452733319967,-1.0
172.0,168.0,-179.17041425544127,-1.0
172.0,186.0,176.82393368801874,-1.0
172.0,162.0,-178.2079729842105,-1.0
172.0,167.0,171.37246251949807,-1.0
172.0,176.0,170.91135316637295,-1.0
347.0,349.0,173.45339415008877,-1.0
347.0,342.0,-21.446472398463435,-1.0
347.0,345.0,-16.322860653312773,-1.0
347.0,355.0,-15.833874184870798,-1.0
347.0,322.0,-12.521322863063267,-1.0
347.0,335.0,-25.055316884834852,-1.0
347.0,346.0,-24.247710357545998,-1.0
347.0,358.0,-19.017098707012682,-1.0
347.0,335.0,-10.854034022741974,-1.0
347.0,342.0,-23.333692927990317,-1.0
127.0,133.0,-20.729805909002657,-1.0
127.0,137.0,148.52981359190116,-1.0
127.0,113.0,135.71256463895782,-1.0
127.0,118.0,126.21848660402723,-1.0
127.0,120.0,123.73525153281943,-1.0
54.0,32.0,123.79280595555848,-1.0
54.0,52.0,42.72485385231708,-1.0
54.0,45.0,54.35771626701644,-1.0
54.0,39.0,46.979055081976334,-1.0
54.0,53.0,40.55503282300378,-1.0
54.0,61.0,44.316178807142684,-1.0
54.0,34.0,50.22455712059874,-1.0
54.0,62.0,41.26975716242691,-1.0
54.0,51.0,49.98086057349556,-1.0
54.0,35.0,48.61767705086821,-1.0
54.0,53.0,40.69701532921275,-1.0
54.0,56.0,45.8993707002202,-1.0
54.0,50.0,49.37929044543305,-1.0
258.0,261.0,47.60586732884582,-1.0
258.0,258.0,-110.28437979685893,-1.0
258.0,243.0,-102.29157457316536,-1.0
258.0,253.0,-102.69616108182905,-1.0
258.0,255.0,-103.41426909170745,-1.0
258.0,257.0,-103.53735329369962,-1.0
258.0,259.0,-102.07251573964427,-1.0
258.0,237.0,-100.43488175700178,-1.0
258.0,271.0,-108.21416477508902,-1.0
258.0,259.0,-96.72783241278154,-1.0
